📉 Epoch 1/50, Loss: 3232642816.0000, Test AUC: 0.5080
📉 Epoch 2/50, Loss: 830998016.0000, Test AUC: 0.5003
📉 Epoch 3/50, Loss: 612604608.0000, Test AUC: 0.5000
📉 Epoch 4/50, Loss: 825224128.0000, Test AUC: 0.5000
📉 Epoch 5/50, Loss: 815213248.0000, Test AUC: 0.5003
📉 Epoch 6/50, Loss: 618957184.0000, Test AUC: 0.5074
📉 Epoch 7/50, Loss: 390255456.0000, Test AUC: 0.5172
📉 Epoch 8/50, Loss: 265088096.0000, Test AUC: 0.5193
📉 Epoch 9/50, Loss: 220268368.0000, Test AUC: 0.5202
📉 Epoch 10/50, Loss: 210547104.0000, Test AUC: 0.5205
📉 Epoch 11/50, Loss: 202781136.0000, Test AUC: 0.5193
📉 Epoch 12/50, Loss: 185127040.0000, Test AUC: 0.5193
📉 Epoch 13/50, Loss: 158309232.0000, Test AUC: 0.5211
📉 Epoch 14/50, Loss: 128195176.0000, Test AUC: 0.5227
📉 Epoch 15/50, Loss: 108156768.0000, Test AUC: 0.5236
📉 Epoch 16/50, Loss: 98806424.0000, Test AUC: 0.5242
📉 Epoch 17/50, Loss: 92486416.0000, Test AUC: 0.5251
📉 Epoch 18/50, Loss: 89618448.0000, Test AUC: 0.5263
📉 Epoch 19/50, Loss: 86897272.0000, Test AUC: 0.5288
📉 Epoch 20/50, Loss: 79755200.0000, Test AUC: 0.5297
📉 Epoch 21/50, Loss: 67690808.0000, Test AUC: 0.5294
📉 Epoch 22/50, Loss: 55940180.0000, Test AUC: 0.5340
📉 Epoch 23/50, Loss: 44812268.0000, Test AUC: 0.5352
📉 Epoch 24/50, Loss: 35997980.0000, Test AUC: 0.5328
📉 Epoch 25/50, Loss: 29381894.0000, Test AUC: 0.5319
📉 Epoch 26/50, Loss: 25741100.0000, Test AUC: 0.5331
📉 Epoch 27/50, Loss: 23887312.0000, Test AUC: 0.5303
📉 Epoch 28/50, Loss: 22850658.0000, Test AUC: 0.5270
📉 Epoch 29/50, Loss: 23162310.0000, Test AUC: 0.5251
📉 Epoch 30/50, Loss: 22959364.0000, Test AUC: 0.5245
📉 Epoch 31/50, Loss: 23401642.0000, Test AUC: 0.5239
📉 Epoch 32/50, Loss: 22630764.0000, Test AUC: 0.5233
📉 Epoch 33/50, Loss: 20531958.0000, Test AUC: 0.5245
📉 Epoch 34/50, Loss: 18627788.0000, Test AUC: 0.5233
📉 Epoch 35/50, Loss: 16996096.0000, Test AUC: 0.5270
📉 Epoch 36/50, Loss: 14746352.0000, Test AUC: 0.5380
📉 Epoch 37/50, Loss: 13271200.0000, Test AUC: 0.5401
📉 Epoch 38/50, Loss: 12037406.0000, Test AUC: 0.5414
📉 Epoch 39/50, Loss: 10736911.0000, Test AUC: 0.5441
📉 Epoch 40/50, Loss: 9861765.0000, Test AUC: 0.5456
📉 Epoch 41/50, Loss: 9420925.0000, Test AUC: 0.5460
📉 Epoch 42/50, Loss: 9133425.0000, Test AUC: 0.5463
📉 Epoch 43/50, Loss: 8350168.5000, Test AUC: 0.5502
📉 Epoch 44/50, Loss: 8018704.5000, Test AUC: 0.5533
📉 Epoch 45/50, Loss: 7786829.5000, Test AUC: 0.5536
📉 Epoch 46/50, Loss: 7679113.5000, Test AUC: 0.5545
📉 Epoch 47/50, Loss: 7585176.0000, Test AUC: 0.5564
📉 Epoch 48/50, Loss: 7182587.0000, Test AUC: 0.5564
📉 Epoch 49/50, Loss: 6805251.0000, Test AUC: 0.5555
📉 Epoch 50/50, Loss: 6637098.5000, Test AUC: 0.5542
