
🔁 Fold 1/3 for GraphSAGE
[GraphSAGE][Fold 1] Epoch 1/50, Hidden=32, LR=0.01, Loss=681336064.0000, Test AUC=0.5138
[GraphSAGE][Fold 1] Epoch 2/50, Hidden=32, LR=0.01, Loss=275578464.0000, Test AUC=0.5159
[GraphSAGE][Fold 1] Epoch 3/50, Hidden=32, LR=0.01, Loss=118081832.0000, Test AUC=0.5126
[GraphSAGE][Fold 1] Epoch 4/50, Hidden=32, LR=0.01, Loss=82263152.0000, Test AUC=0.5116
[GraphSAGE][Fold 1] Epoch 5/50, Hidden=32, LR=0.01, Loss=74559104.0000, Test AUC=0.5080
[GraphSAGE][Fold 1] Epoch 6/50, Hidden=32, LR=0.01, Loss=64782076.0000, Test AUC=0.5080
[GraphSAGE][Fold 1] Epoch 7/50, Hidden=32, LR=0.01, Loss=54116764.0000, Test AUC=0.5080
[GraphSAGE][Fold 1] Epoch 8/50, Hidden=32, LR=0.01, Loss=46129748.0000, Test AUC=0.5098
[GraphSAGE][Fold 1] Epoch 9/50, Hidden=32, LR=0.01, Loss=40949168.0000, Test AUC=0.5083
[GraphSAGE][Fold 1] Epoch 10/50, Hidden=32, LR=0.01, Loss=38464632.0000, Test AUC=0.5095
[GraphSAGE][Fold 1] Epoch 11/50, Hidden=32, LR=0.01, Loss=34414636.0000, Test AUC=0.5104
[GraphSAGE][Fold 1] Epoch 12/50, Hidden=32, LR=0.01, Loss=31208334.0000, Test AUC=0.5123
[GraphSAGE][Fold 1] Epoch 13/50, Hidden=32, LR=0.01, Loss=26022626.0000, Test AUC=0.5172
[GraphSAGE][Fold 1] Epoch 14/50, Hidden=32, LR=0.01, Loss=22227816.0000, Test AUC=0.5211
[GraphSAGE][Fold 1] Epoch 15/50, Hidden=32, LR=0.01, Loss=18404614.0000, Test AUC=0.5230
[GraphSAGE][Fold 1] Epoch 16/50, Hidden=32, LR=0.01, Loss=15507549.0000, Test AUC=0.5254
[GraphSAGE][Fold 1] Epoch 17/50, Hidden=32, LR=0.01, Loss=13218553.0000, Test AUC=0.5316
[GraphSAGE][Fold 1] Epoch 18/50, Hidden=32, LR=0.01, Loss=11363877.0000, Test AUC=0.5349
[GraphSAGE][Fold 1] Epoch 19/50, Hidden=32, LR=0.01, Loss=10365907.0000, Test AUC=0.5346
[GraphSAGE][Fold 1] Epoch 20/50, Hidden=32, LR=0.01, Loss=9342398.0000, Test AUC=0.5358
[GraphSAGE][Fold 1] Epoch 21/50, Hidden=32, LR=0.01, Loss=8130879.0000, Test AUC=0.5386
[GraphSAGE][Fold 1] Epoch 22/50, Hidden=32, LR=0.01, Loss=7043113.0000, Test AUC=0.5407
[GraphSAGE][Fold 1] Epoch 23/50, Hidden=32, LR=0.01, Loss=6642102.0000, Test AUC=0.5383
[GraphSAGE][Fold 1] Epoch 24/50, Hidden=32, LR=0.01, Loss=6096642.5000, Test AUC=0.5374
[GraphSAGE][Fold 1] Epoch 25/50, Hidden=32, LR=0.01, Loss=5499570.0000, Test AUC=0.5380
[GraphSAGE][Fold 1] Epoch 26/50, Hidden=32, LR=0.01, Loss=5100535.0000, Test AUC=0.5404
[GraphSAGE][Fold 1] Epoch 27/50, Hidden=32, LR=0.01, Loss=4903701.5000, Test AUC=0.5349
[GraphSAGE][Fold 1] Epoch 28/50, Hidden=32, LR=0.01, Loss=4228611.5000, Test AUC=0.5322
[GraphSAGE][Fold 1] Epoch 29/50, Hidden=32, LR=0.01, Loss=3888848.5000, Test AUC=0.5309
[GraphSAGE][Fold 1] Epoch 30/50, Hidden=32, LR=0.01, Loss=3563637.5000, Test AUC=0.5297
[GraphSAGE][Fold 1] Epoch 31/50, Hidden=32, LR=0.01, Loss=3345107.2500, Test AUC=0.5285
[GraphSAGE][Fold 1] Epoch 32/50, Hidden=32, LR=0.01, Loss=3140944.0000, Test AUC=0.5267
[GraphSAGE][Fold 1] Epoch 33/50, Hidden=32, LR=0.01, Loss=2876813.7500, Test AUC=0.5285
[GraphSAGE][Fold 1] Epoch 34/50, Hidden=32, LR=0.01, Loss=2839494.7500, Test AUC=0.5285
[GraphSAGE][Fold 1] Epoch 35/50, Hidden=32, LR=0.01, Loss=2588955.2500, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 36/50, Hidden=32, LR=0.01, Loss=2457862.0000, Test AUC=0.5282
[GraphSAGE][Fold 1] Epoch 37/50, Hidden=32, LR=0.01, Loss=2259976.5000, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 38/50, Hidden=32, LR=0.01, Loss=2208456.5000, Test AUC=0.5276
[GraphSAGE][Fold 1] Epoch 39/50, Hidden=32, LR=0.01, Loss=1999768.3750, Test AUC=0.5254
[GraphSAGE][Fold 1] Epoch 40/50, Hidden=32, LR=0.01, Loss=2066841.5000, Test AUC=0.5251
[GraphSAGE][Fold 1] Epoch 41/50, Hidden=32, LR=0.01, Loss=1989328.0000, Test AUC=0.5270
[GraphSAGE][Fold 1] Epoch 42/50, Hidden=32, LR=0.01, Loss=1803362.3750, Test AUC=0.5279
[GraphSAGE][Fold 1] Epoch 43/50, Hidden=32, LR=0.01, Loss=1833543.7500, Test AUC=0.5303
[GraphSAGE][Fold 1] Epoch 44/50, Hidden=32, LR=0.01, Loss=1748672.3750, Test AUC=0.5306
[GraphSAGE][Fold 1] Epoch 45/50, Hidden=32, LR=0.01, Loss=1669486.3750, Test AUC=0.5300
[GraphSAGE][Fold 1] Epoch 46/50, Hidden=32, LR=0.01, Loss=1623592.5000, Test AUC=0.5309
[GraphSAGE][Fold 1] Epoch 47/50, Hidden=32, LR=0.01, Loss=1623522.5000, Test AUC=0.5320
[GraphSAGE][Fold 1] Epoch 48/50, Hidden=32, LR=0.01, Loss=1543058.3750, Test AUC=0.5300
[GraphSAGE][Fold 1] Epoch 49/50, Hidden=32, LR=0.01, Loss=1439369.1250, Test AUC=0.5312
[GraphSAGE][Fold 1] Epoch 50/50, Hidden=32, LR=0.01, Loss=1449612.5000, Test AUC=0.5306
[GraphSAGE][Fold 1] Epoch 1/50, Hidden=32, LR=0.001, Loss=432491136.0000, Test AUC=0.5000
[GraphSAGE][Fold 1] Epoch 2/50, Hidden=32, LR=0.001, Loss=388614688.0000, Test AUC=0.5000
[GraphSAGE][Fold 1] Epoch 3/50, Hidden=32, LR=0.001, Loss=351860832.0000, Test AUC=0.5000
[GraphSAGE][Fold 1] Epoch 4/50, Hidden=32, LR=0.001, Loss=316128800.0000, Test AUC=0.5000
[GraphSAGE][Fold 1] Epoch 5/50, Hidden=32, LR=0.001, Loss=282916032.0000, Test AUC=0.5025
[GraphSAGE][Fold 1] Epoch 6/50, Hidden=32, LR=0.001, Loss=251743328.0000, Test AUC=0.5061
[GraphSAGE][Fold 1] Epoch 7/50, Hidden=32, LR=0.001, Loss=224426752.0000, Test AUC=0.5098
[GraphSAGE][Fold 1] Epoch 8/50, Hidden=32, LR=0.001, Loss=199520096.0000, Test AUC=0.5132
[GraphSAGE][Fold 1] Epoch 9/50, Hidden=32, LR=0.001, Loss=178252864.0000, Test AUC=0.5159
[GraphSAGE][Fold 1] Epoch 10/50, Hidden=32, LR=0.001, Loss=158194256.0000, Test AUC=0.5193
[GraphSAGE][Fold 1] Epoch 11/50, Hidden=32, LR=0.001, Loss=139128816.0000, Test AUC=0.5196
[GraphSAGE][Fold 1] Epoch 12/50, Hidden=32, LR=0.001, Loss=122684824.0000, Test AUC=0.5218
[GraphSAGE][Fold 1] Epoch 13/50, Hidden=32, LR=0.001, Loss=109682272.0000, Test AUC=0.5227
[GraphSAGE][Fold 1] Epoch 14/50, Hidden=32, LR=0.001, Loss=96719304.0000, Test AUC=0.5230
[GraphSAGE][Fold 1] Epoch 15/50, Hidden=32, LR=0.001, Loss=86155552.0000, Test AUC=0.5248
[GraphSAGE][Fold 1] Epoch 16/50, Hidden=32, LR=0.001, Loss=76719344.0000, Test AUC=0.5245
[GraphSAGE][Fold 1] Epoch 17/50, Hidden=32, LR=0.001, Loss=67962472.0000, Test AUC=0.5276
[GraphSAGE][Fold 1] Epoch 18/50, Hidden=32, LR=0.001, Loss=60884084.0000, Test AUC=0.5285
[GraphSAGE][Fold 1] Epoch 19/50, Hidden=32, LR=0.001, Loss=54902824.0000, Test AUC=0.5303
[GraphSAGE][Fold 1] Epoch 20/50, Hidden=32, LR=0.001, Loss=49166124.0000, Test AUC=0.5306
[GraphSAGE][Fold 1] Epoch 21/50, Hidden=32, LR=0.001, Loss=45239952.0000, Test AUC=0.5334
[GraphSAGE][Fold 1] Epoch 22/50, Hidden=32, LR=0.001, Loss=41367576.0000, Test AUC=0.5309
[GraphSAGE][Fold 1] Epoch 23/50, Hidden=32, LR=0.001, Loss=37514112.0000, Test AUC=0.5288
[GraphSAGE][Fold 1] Epoch 24/50, Hidden=32, LR=0.001, Loss=35131600.0000, Test AUC=0.5309
[GraphSAGE][Fold 1] Epoch 25/50, Hidden=32, LR=0.001, Loss=32726358.0000, Test AUC=0.5285
[GraphSAGE][Fold 1] Epoch 26/50, Hidden=32, LR=0.001, Loss=30447568.0000, Test AUC=0.5322
[GraphSAGE][Fold 1] Epoch 27/50, Hidden=32, LR=0.001, Loss=28228926.0000, Test AUC=0.5319
[GraphSAGE][Fold 1] Epoch 28/50, Hidden=32, LR=0.001, Loss=27372834.0000, Test AUC=0.5303
[GraphSAGE][Fold 1] Epoch 29/50, Hidden=32, LR=0.001, Loss=25480508.0000, Test AUC=0.5276
[GraphSAGE][Fold 1] Epoch 30/50, Hidden=32, LR=0.001, Loss=24592070.0000, Test AUC=0.5263
[GraphSAGE][Fold 1] Epoch 31/50, Hidden=32, LR=0.001, Loss=23592828.0000, Test AUC=0.5285
[GraphSAGE][Fold 1] Epoch 32/50, Hidden=32, LR=0.001, Loss=21744442.0000, Test AUC=0.5294
[GraphSAGE][Fold 1] Epoch 33/50, Hidden=32, LR=0.001, Loss=21334300.0000, Test AUC=0.5297
[GraphSAGE][Fold 1] Epoch 34/50, Hidden=32, LR=0.001, Loss=19956742.0000, Test AUC=0.5300
[GraphSAGE][Fold 1] Epoch 35/50, Hidden=32, LR=0.001, Loss=19045966.0000, Test AUC=0.5325
[GraphSAGE][Fold 1] Epoch 36/50, Hidden=32, LR=0.001, Loss=18576102.0000, Test AUC=0.5334
[GraphSAGE][Fold 1] Epoch 37/50, Hidden=32, LR=0.001, Loss=17583872.0000, Test AUC=0.5349
[GraphSAGE][Fold 1] Epoch 38/50, Hidden=32, LR=0.001, Loss=17156780.0000, Test AUC=0.5337
[GraphSAGE][Fold 1] Epoch 39/50, Hidden=32, LR=0.001, Loss=16086156.0000, Test AUC=0.5337
[GraphSAGE][Fold 1] Epoch 40/50, Hidden=32, LR=0.001, Loss=15876669.0000, Test AUC=0.5340
[GraphSAGE][Fold 1] Epoch 41/50, Hidden=32, LR=0.001, Loss=15435835.0000, Test AUC=0.5349
[GraphSAGE][Fold 1] Epoch 42/50, Hidden=32, LR=0.001, Loss=14681674.0000, Test AUC=0.5365
[GraphSAGE][Fold 1] Epoch 43/50, Hidden=32, LR=0.001, Loss=13800570.0000, Test AUC=0.5389
[GraphSAGE][Fold 1] Epoch 44/50, Hidden=32, LR=0.001, Loss=13855561.0000, Test AUC=0.5392
[GraphSAGE][Fold 1] Epoch 45/50, Hidden=32, LR=0.001, Loss=13471846.0000, Test AUC=0.5389
[GraphSAGE][Fold 1] Epoch 46/50, Hidden=32, LR=0.001, Loss=13059752.0000, Test AUC=0.5404
[GraphSAGE][Fold 1] Epoch 47/50, Hidden=32, LR=0.001, Loss=12958411.0000, Test AUC=0.5392
[GraphSAGE][Fold 1] Epoch 48/50, Hidden=32, LR=0.001, Loss=12479231.0000, Test AUC=0.5404
[GraphSAGE][Fold 1] Epoch 49/50, Hidden=32, LR=0.001, Loss=11913727.0000, Test AUC=0.5404
[GraphSAGE][Fold 1] Epoch 50/50, Hidden=32, LR=0.001, Loss=11897155.0000, Test AUC=0.5398
[GraphSAGE][Fold 1] Epoch 1/50, Hidden=64, LR=0.01, Loss=2175582720.0000, Test AUC=0.5003
[GraphSAGE][Fold 1] Epoch 2/50, Hidden=64, LR=0.01, Loss=736750272.0000, Test AUC=0.5116
[GraphSAGE][Fold 1] Epoch 3/50, Hidden=64, LR=0.01, Loss=296453504.0000, Test AUC=0.5003
[GraphSAGE][Fold 1] Epoch 4/50, Hidden=64, LR=0.01, Loss=377489504.0000, Test AUC=0.5000
