Node,Cluster
0,1
1,1
2,1
3,1
4,1
5,1
6,1
7,1
8,1
9,1
10,1
11,1
12,1
13,1
14,1
15,1
16,1
17,1
18,1
19,1
20,1
21,1
22,1
23,1
24,1
25,1
26,1
27,1
28,1
29,1
30,1
31,1
32,1
33,1
34,1
35,1
36,2
37,1
38,2
39,2
40,2
41,1
42,1
43,1
44,1
45,1
46,1
47,2
48,2
49,2
50,1
51,2
52,2
53,2
54,2
55,2
56,1
57,1
58,2
59,2
60,2
61,0
62,0
63,2
64,2
65,2
66,1
67,0
68,1
69,1
70,0
71,2
72,0
73,2
74,0
75,0
76,0
77,0
78,2
79,2
80,2
81,1
82,0
83,0
84,0
85,0
86,0
87,1
88,1
89,1
90,0
91,0
92,0
93,0
94,0
95,0
96,0
97,0
98,0
99,0
100,2
101,0
102,0
103,0
104,0
105,0
106,2
107,2
108,2
109,2
110,2
111,0
112,0
113,0
114,2
115,2
116,2
117,1
118,0
119,0
120,0
121,0
122,0
123,0
124,0
125,2
126,2
127,1
128,2
129,0
130,0
131,0
132,0
133,0
134,0
135,0
136,0
137,0
138,0
139,0
140,0
141,0
142,0
143,0
144,0
145,0
146,0
147,2
148,0
149,1
150,1
151,3
152,2
153,3
154,3
155,3
156,3
157,2
158,0
159,0
160,0
161,0
162,0
163,0
164,0
165,0
166,0
167,0
168,0
169,0
170,0
171,0
172,0
173,0
174,0
175,0
176,2
177,0
178,0
179,0
180,0
181,0
182,0
183,0
184,0
185,0
186,0
187,0
188,0
189,0
190,0
191,0
192,0
193,0
194,2
195,0
196,0
197,1
198,3
199,3
200,0
201,3
202,3
203,0
204,2
205,2
206,0
207,0
208,2
209,2
210,2
211,0
212,2
213,0
214,0
215,0
216,2
217,2
218,2
219,2
220,2
221,0
222,2
223,2
224,2
225,2
226,0
227,2
228,2
229,2
230,2
231,2
232,2
233,2
234,0
235,0
236,2
237,0
238,0
239,0
240,0
241,0
242,0
243,0
244,0
245,0
246,0
247,0
248,0
249,0
250,0
251,0
252,0
253,0
254,0
255,0
256,0
257,1
258,0
259,0
260,0
261,0
262,2
263,0
264,2
265,0
266,0
267,0
268,2
269,2
270,0
271,0
272,0
273,0
274,0
275,3
276,0
277,0
278,0
279,0
280,2
281,2
282,0
283,0
284,0
285,0
286,0
287,0
288,0
289,0
290,0
291,0
292,0
293,0
294,2
295,0
296,0
297,0
298,0
299,0
300,0
301,0
302,2
303,0
304,0
305,0
306,2
307,0
308,0
309,0
310,0
311,0
312,0
313,0
314,0
315,2
316,0
317,0
318,0
319,1
320,0
321,1
322,0
323,0
324,0
325,0
326,0
327,0
328,0
329,0
330,0
331,0
332,0
333,0
334,0
335,0
336,0
337,0
338,0
339,0
340,0
341,0
342,0
343,0
344,0
345,0
346,3
347,0
348,0
349,0
350,0
351,0
352,0
353,0
354,0
355,0
356,3
357,3
358,0
359,1
360,0
361,0
362,2
363,2
364,0
365,2
366,0
367,0
368,0
369,2
370,0
371,2
372,0
373,0
374,0
375,0
376,0
377,0
378,0
379,0
380,0
381,2
382,0
383,0
384,0
385,0
386,0
387,0
388,0
389,0
390,0
391,0
392,0
393,0
394,0
395,0
396,0
397,2
398,0
399,2
400,0
401,0
402,0
403,0
404,0
405,0
406,0
407,3
408,0
409,0
410,0
411,3
412,0
413,0
414,0
415,0
416,0
417,2
418,0
419,0
420,0
421,0
422,0
423,0
424,3
425,0
426,2
427,3
428,2
429,3
430,0
431,0
432,3
433,0
434,0
435,0
436,0
437,0
438,0
439,2
440,0
441,0
442,0
443,0
444,0
445,0
446,0
447,0
448,0
449,0
450,0
451,0
452,1
453,0
454,3
455,0
456,0
457,0
458,0
459,0
460,0
461,0
462,0
463,0
464,0
465,0
466,0
467,0
468,0
469,0
470,0
471,0
472,0
473,0
474,0
475,0
476,2
477,0
478,1
479,0
480,3
481,3
482,3
483,0
484,0
485,0
486,0
487,0
488,0
489,0
490,3
491,1
492,1
493,1
494,0
495,0
496,0
497,0
498,0
499,0
500,0
501,0
502,0
503,0
504,0
505,0
506,3
507,0
508,0
509,0
510,0
511,0
512,0
513,0
514,2
515,0
516,0
517,0
518,0
519,0
520,0
521,0
522,0
523,0
524,0
525,0
526,3
527,0
528,3
529,0
530,0
531,3
532,2
533,0
534,0
535,0
536,1
537,0
538,0
539,0
540,0
541,0
542,0
543,0
544,0
545,0
546,0
547,3
548,3
549,3
550,0
551,0
552,3
553,0
554,0
555,3
556,0
557,0
558,0
559,0
560,0
561,3
562,0
563,3
564,0
565,3
566,3
567,0
568,0
569,3
570,0
571,0
572,0
573,0
574,0
575,3
576,2
577,3
578,2
579,1
580,3
581,2
582,1
583,0
584,1
585,0
586,0
587,0
588,0
589,0
590,0
591,0
592,2
593,0
594,3
595,3
596,0
597,0
598,0
599,2
600,1
601,0
602,0
603,2
604,2
605,2
606,0
607,1
608,0
609,2
610,0
611,0
612,2
613,0
614,0
615,0
616,0
617,0
618,0
619,0
620,0
621,0
622,0
623,0
624,0
625,0
626,0
627,0
628,0
629,0
630,0
631,0
632,0
633,2
634,3
635,1
636,2
637,0
638,2
639,1
640,0
641,0
642,0
643,0
644,0
645,0
646,0
647,0
648,0
649,0
650,0
651,2
652,2
653,3
654,0
655,3
656,0
657,0
658,3
659,1
660,3
661,3
662,3
663,3
664,3
665,0
666,3
667,3
668,1
669,0
670,2
671,0
672,0
673,0
674,0
675,0
676,0
677,3
678,0
679,3
680,3
681,1
682,3
683,3
684,3
685,0
686,0
687,3
688,0
689,0
690,0
691,0
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,0
700,0
701,0
702,0
703,3
704,0
705,3
706,3
707,3
708,3
709,3
710,3
711,0
712,3
713,0
714,3
715,0
716,0
717,3
718,3
719,3
720,3
721,0
722,3
723,0
724,0
725,0
726,0
727,0
728,0
729,3
730,0
731,0
732,3
733,3
734,0
735,2
736,2
737,0
738,3
739,3
740,3
741,0
742,1
743,0
744,0
745,0
746,0
747,0
748,3
749,3
750,3
751,2
752,0
753,1
754,1
755,0
756,1
757,1
758,2
759,0
760,0
761,1
762,0
763,1
764,0
765,2
766,1
767,0
768,0
769,0
770,0
771,3
772,0
773,0
774,0
775,0
776,0
777,0
778,0
779,0
780,0
781,0
782,0
783,0
784,3
785,2
786,3
787,1
788,3
789,3
790,0
791,3
792,3
793,3
794,0
795,0
796,0
797,0
798,0
799,0
800,0
801,0
802,0
803,3
804,3
805,0
806,0
807,0
808,0
809,0
810,3
811,0
