#node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
AEW84859.2	sdhA	1041826.FCOL_00010	1041826.FCOL_09145	0	0	0	0	0.332	0.108	0	0.088	0.409
AEW84859.2	atpD	1041826.FCOL_00010	1041826.FCOL_12865	0	0	0	0	0.243	0.117	0.148	0.092	0.413
AEW84859.2	AEW85750.1	1041826.FCOL_00010	1041826.FCOL_04595	0.047	0	0	0	0	0.449	0	0	0.452
AEW84859.2	dnaJ	1041826.FCOL_00010	1041826.FCOL_11980	0	0	0	0	0.136	0.398	0	0	0.457
AEW84859.2	AEW86571.1	1041826.FCOL_00010	1041826.FCOL_08795	0.052	0	0	0	0.076	0.229	0.279	0.075	0.467
AEW84859.2	AEW86329.1	1041826.FCOL_00010	1041826.FCOL_07550	0	0	0	0	0	0.443	0	0.083	0.467
AEW84859.2	AEW86639.1	1041826.FCOL_00010	1041826.FCOL_09150	0	0	0	0	0.388	0.123	0	0.089	0.468
AEW84859.2	ftsH	1041826.FCOL_00010	1041826.FCOL_01970	0	0	0	0	0.056	0.160	0.349	0.092	0.468
AEW84859.2	AEW85647.1	1041826.FCOL_00010	1041826.FCOL_04065	0	0	0	0	0.158	0.427	0	0	0.496
AEW84859.2	AEW85718.1	1041826.FCOL_00010	1041826.FCOL_04435	0.043	0	0	0	0.158	0.427	0	0	0.497
AEW84859.2	nuoN	1041826.FCOL_00010	1041826.FCOL_00145	0	0	0	0	0	0.513	0	0	0.513
AEW84859.2	nuoH	1041826.FCOL_00010	1041826.FCOL_00110	0	0	0	0	0	0.515	0	0	0.515
AEW84859.2	AEW84885.1	1041826.FCOL_00010	1041826.FCOL_00140	0	0	0	0	0	0.517	0	0	0.517
AEW84859.2	AEW84894.2	1041826.FCOL_00010	1041826.FCOL_00185	0.045	0	0	0	0	0.522	0	0.074	0.540
AEW84859.2	AEW84895.1	1041826.FCOL_00010	1041826.FCOL_00190	0.043	0	0	0	0	0.522	0	0.083	0.543
AEW84859.2	atpG	1041826.FCOL_00010	1041826.FCOL_08135	0	0	0	0	0.498	0.109	0	0.086	0.555
AEW84859.2	AEW86305.1	1041826.FCOL_00010	1041826.FCOL_07430	0	0	0	0	0.228	0.480	0	0.069	0.593
AEW84859.2	AEW85095.1	1041826.FCOL_00010	1041826.FCOL_01230	0	0	0	0	0.228	0.480	0	0.069	0.593
AEW84859.2	atpA	1041826.FCOL_00010	1041826.FCOL_08140	0	0	0	0	0.496	0.228	0	0.092	0.615
AEW84859.2	nuoD	1041826.FCOL_00010	1041826.FCOL_00090	0	0	0	0	0.409	0.519	0	0.083	0.716
AEW84859.2	AEW84878.1	1041826.FCOL_00010	1041826.FCOL_00105	0	0	0	0	0.476	0.522	0	0.084	0.750
AEW84859.2	AEW84877.1	1041826.FCOL_00010	1041826.FCOL_00100	0	0	0	0	0.524	0.522	0	0.083	0.773
AEW84859.2	AEW87503.1	1041826.FCOL_00010	1041826.FCOL_13540	0.109	0.900	0.774	0	0	0	0	0	0.978
AEW84864.1	AEW86924.1	1041826.FCOL_00035	1041826.FCOL_10585	0.060	0	0	0	0.445	0	0	0.087	0.482
AEW84864.1	AEW87165.1	1041826.FCOL_00035	1041826.FCOL_11820	0.060	0	0	0	0.445	0	0	0.087	0.482
