#queryIndex	queryItem	stringId	identity	bitscore	preferredName	annotation
5	fig|6666666.1036479.peg.2546	1041826.FCOL_10920	79.6	163.3	AEW86987.1	Yd repeat protein; COG3209 Rhs family protein.
8	fig|6666666.1036479.peg.2553	1041826.FCOL_09875	33.3	137.9	AEW86784.1	Tyrosine recombinase XerD; COG0582 Integrase; Belongs to the 'phage' integrase family.
9	fig|6666666.1036479.peg.2554	1041826.FCOL_09870	33.8	240.4	AEW86783.1	Hypothetical protein.
10	fig|6666666.1036479.peg.2557	1041826.FCOL_10920	30.0	51.2	AEW86987.1	Yd repeat protein; COG3209 Rhs family protein.
12	fig|6666666.1036479.peg.2561	1041826.FCOL_09875	33.2	133.7	AEW86784.1	Tyrosine recombinase XerD; COG0582 Integrase; Belongs to the 'phage' integrase family.
13	fig|6666666.1036479.peg.2562	1041826.FCOL_09870	34.0	239.6	AEW86783.1	Hypothetical protein.
14	fig|6666666.1036479.peg.2565	1041826.FCOL_10920	52.0	163.3	AEW86987.1	Yd repeat protein; COG3209 Rhs family protein.
16	fig|6666666.1036479.peg.2572	1041826.FCOL_10920	48.7	177.2	AEW86987.1	Yd repeat protein; COG3209 Rhs family protein.
17	fig|6666666.1036479.peg.2573	1041826.FCOL_10920	96.7	5764.5	AEW86987.1	Yd repeat protein; COG3209 Rhs family protein.
18	fig|6666666.1036479.peg.2574	1041826.FCOL_10915	93.4	1207.6	AEW86986.1	Hypothetical protein.
19	fig|6666666.1036479.peg.2575	1041826.FCOL_10910	96.3	481.5	AEW86985.1	Hypothetical protein.
20	fig|6666666.1036479.peg.2576	1041826.FCOL_10905	93.1	427.6	AEW86984.1	Hypothetical protein.
21	fig|6666666.1036479.peg.2577	1041826.FCOL_10900	81.6	689.9	murF	UDP-N-acetylmuramoyl-tripeptide--D-alanyl-D- alanine ligase; Involved in cell wall formation. Catalyzes the final step in the synthesis of UDP-N-acetylmuramoyl-pentapeptide, the precursor of murein; Belongs to the MurCDEF family. MurF subfamily.
22	fig|6666666.1036479.peg.2578	1041826.FCOL_10895	94.1	1114.4	AEW86982.1	Gliding motility lipoprotein GldJ.
23	fig|6666666.1036479.peg.2579	1041826.FCOL_10890	83.7	2205.6	AEW86981.1	Hypothetical protein.
24	fig|6666666.1036479.peg.2580	1041826.FCOL_10885	96.0	773.5	AEW86980.1	Hypothetical protein.
25	fig|6666666.1036479.peg.2582	1041826.FCOL_10875	99.4	665.6	pdhA	Pyruvate dehydrogenase E1 component subunit alpha; The pyruvate dehydrogenase complex catalyzes the overall conversion of pyruvate to acetyl-CoA and CO(2).
26	fig|6666666.1036479.peg.2583	1041826.FCOL_10870	97.8	999.6	AEW86977.1	COG0508 Pyruvate/2-oxoglutarate dehydrogenase complex, dihydrolipoamide acyltransferase (E2) component, and related enzymes.
27	fig|6666666.1036479.peg.2584	1041826.FCOL_10865	89.3	922.2	AEW86976.1	Peptidase s41; COG0793 Periplasmic protease.
28	fig|6666666.1036479.peg.2587	1041826.FCOL_10855	86.3	396.4	AEW86974.1	Short-chain type dehydrogenase; COG1028 Dehydrogenases with different specificities (related to short-chain alcohol dehydrogenases); Belongs to the short-chain dehydrogenases/reductases (SDR) family.
29	fig|6666666.1036479.peg.2589	1041826.FCOL_10850	91.5	382.1	AEW86973.1	COG3091 Uncharacterized protein conserved in bacteria.
30	fig|6666666.1036479.peg.2590	1041826.FCOL_10845	96.3	696.4	AEW86972.1	COG0836 Mannose-1-phosphate guanylyltransferase.
31	fig|6666666.1036479.peg.2591	1041826.FCOL_10840	95.2	660.2	AEW86971.1	COG3568 Metal-dependent hydrolase.
32	fig|6666666.1036479.peg.2592	1041826.FCOL_10835	99.6	497.7	AEW86970.1	ABC transporter ATPase; COG1127 ABC-type transport system involved in resistance to organic solvents, ATPase component.
33	fig|6666666.1036479.peg.2593	1041826.FCOL_10830	100.0	441.0	AEW86969.2	ABC transporter permease; COG0767 ABC-type transport system involved in resistance to organic solvents, permease component.
34	fig|6666666.1036479.peg.2594	1041826.FCOL_10825	98.6	573.9	AEW86968.1	COG0463 Glycosyltransferases involved in cell wall biogenesis.
35	fig|6666666.1036479.peg.2595	1041826.FCOL_10820	97.3	714.1	AEW86967.1	Hypothetical protein.
36	fig|6666666.1036479.peg.2597	1041826.FCOL_10815	97.3	1706.0	alaS	alanyl-tRNA synthetase; Catalyzes the attachment of alanine to tRNA(Ala) in a two- step reaction: alanine is first activated by ATP to form Ala-AMP and then transferred to the acceptor end of tRNA(Ala). Also edits incorrectly charged Ser-tRNA(Ala) and Gly-tRNA(Ala) via its editing domain.
37	fig|6666666.1036479.peg.2598	1041826.FCOL_10810	99.4	638.3	AEW86965.1	Secreted M23/M37 family peptidase; COG0739 Membrane proteins related to metalloendopeptidases.
38	fig|6666666.1036479.peg.2601	1041826.FCOL_10790	98.0	396.4	AEW86961.1	LemA family protein.
39	fig|6666666.1036479.peg.2603	1041826.FCOL_10780	91.1	377.5	AEW86959.1	Hypothetical protein; COG1512 Beta-propeller domains of methanol dehydrogenase type.
45	fig|6666666.1036479.peg.2612	1041826.FCOL_10775	96.2	847.8	AEW86958.1	Hypothetical protein; COG0596 Predicted hydrolases or acyltransferases (alpha/beta hydrolase superfamily).
46	fig|6666666.1036479.peg.2613	1041826.FCOL_10770	97.9	531.6	AEW86957.1	AraC family transcriptional regulator; COG2207 AraC-type DNA-binding domain-containing proteins.
47	fig|6666666.1036479.peg.2614	1041826.FCOL_10765	98.1	587.8	AEW86956.1	COG0329 Dihydrodipicolinate synthase/N-acetylneuraminate lyase; Belongs to the DapA family.
48	fig|6666666.1036479.peg.2615	1041826.FCOL_10760	96.2	1017.7	AEW86955.1	COG1012 NAD-dependent aldehyde dehydrogenases.
49	fig|6666666.1036479.peg.2616	1041826.FCOL_10755	97.6	682.6	AEW86954.1	Hydroxyproline-2-epimerase; COG3938 Proline racemase; Belongs to the proline racemase family.
50	fig|6666666.1036479.peg.2617	1041826.FCOL_10750	98.1	817.8	AEW86953.1	FAD dependent oxidoreductase; COG0665 Glycine/D-amino acid oxidases (deaminating).
56	fig|6666666.1036479.peg.2624	1041826.FCOL_10745	96.5	1951.4	AEW86952.1	Hypothetical protein.
57	fig|6666666.1036479.peg.2625	1041826.FCOL_10740	99.1	862.1	der	GTP-binding protein Der; GTPase that plays an essential role in the late steps of ribosome biogenesis; Belongs to the TRAFAC class TrmE-Era-EngA-EngB-Septin-like GTPase superfamily. EngA (Der) GTPase family.
58	fig|6666666.1036479.peg.2627	1041826.FCOL_10730	97.9	1456.8	AEW86949.1	COG1629 Outer membrane receptor proteins, mostly Fe transport.
59	fig|6666666.1036479.peg.2629	1041826.FCOL_10720	95.9	561.2	era	GTPase Era; An essential GTPase that binds both GDP and GTP, with rapid nucleotide exchange. Plays a role in 16S rRNA processing and 30S ribosomal subunit biogenesis and possibly also in cell cycle regulation and energy metabolism.
60	fig|6666666.1036479.peg.2631	1041826.FCOL_10710	97.3	482.3	AEW86945.1	Hypothetical protein.
61	fig|6666666.1036479.peg.2632	1041826.FCOL_10705	93.6	867.5	AEW86944.1	COG2244 Membrane protein involved in the export of O-antigen and teichoic acid.
62	fig|6666666.1036479.peg.2633	1041826.FCOL_10700	91.7	466.1	AEW86943.1	Hypothetical protein; COG0500 SAM-dependent methyltransferases.
63	fig|6666666.1036479.peg.2634	1041826.FCOL_10695	92.6	1027.7	AEW86942.1	Mtultidrug ABC transporter permease/ATPase; COG1132 ABC-type multidrug transport system, ATPase and permease components.
64	fig|6666666.1036479.peg.2635	1041826.FCOL_10690	77.9	515.4	AEW86941.1	Hypothetical protein.
65	fig|6666666.1036479.peg.2637	1041826.FCOL_10680	83.0	852.4	rho	Transcription termination factor Rho; Facilitates transcription termination by a mechanism that involves Rho binding to the nascent RNA, activation of Rho's RNA- dependent ATPase activity, and release of the mRNA from the DNA template.
66	fig|6666666.1036479.peg.2640	1041826.FCOL_10665	91.3	1082.8	AEW86936.1	COG3186 Phenylalanine-4-hydroxylase.
69	fig|6666666.1036479.peg.2647	1041826.FCOL_10630	90.6	2679.8	AEW86931.2	Hypothetical protein.
70	fig|6666666.1036479.peg.2649	1041826.FCOL_10625	82.4	544.7	AEW86930.1	COG2515 1-aminocyclopropane-1-carboxylate deaminase.
71	fig|6666666.1036479.peg.2650	1041826.FCOL_10620	88.5	546.6	AEW86929.1	COG1705 Muramidase (flagellum-specific).
72	fig|6666666.1036479.peg.2651	1041826.FCOL_10615	98.1	850.1	hemL	COG0001 Glutamate-1-semialdehyde aminotransferase.
73	fig|6666666.1036479.peg.2653	1041826.FCOL_10605	98.0	1350.1	AEW86926.1	COG4263 Nitrous oxide reductase.
75	fig|6666666.1036479.peg.2656	1041826.FCOL_10590	86.2	672.9	AEW86925.1	COG3420 Nitrous oxidase accessory protein.
76	fig|6666666.1036479.peg.2657	1041826.FCOL_10585	99.2	456.8	AEW86924.1	COG1131 ABC-type multidrug transport system, ATPase component.
77	fig|6666666.1036479.peg.2658	1041826.FCOL_10580	100.0	464.2	AEW86923.1	Nitrous-oxide metabolic protein NosY.
78	fig|6666666.1036479.peg.2662	1041826.FCOL_10565	98.7	604.0	AEW86920.1	Hypothetical protein.
79	fig|6666666.1036479.peg.2663	1041826.FCOL_10560	98.8	1247.3	AEW86919.1	COG1629 Outer membrane receptor proteins, mostly Fe transport.
80	fig|6666666.1036479.peg.2664	1041826.FCOL_10555	97.6	572.0	AEW86918.1	Hypothetical protein.
81	fig|6666666.1036479.peg.2665	1041826.FCOL_10550	98.5	685.3	AEW86917.1	COG1858 Cytochrome c peroxidase.
82	fig|6666666.1036479.peg.2668	1041826.FCOL_10540	99.3	1412.9	AEW86915.1	COG1629 Outer membrane receptor proteins, mostly Fe transport.
83	fig|6666666.1036479.peg.2669	1041826.FCOL_10535	96.4	1000.3	AEW86914.2	Hypothetical protein.
84	fig|6666666.1036479.peg.2670	1041826.FCOL_10530	98.2	907.5	AEW86913.1	Chitinase; COG3979 Uncharacterized protein contain chitin-binding domain type 3.
